Timestamp,How many times do you go to Panda Express per month? please be accurate ,Fried Rice or Chow Mein
3/24/2023 20:42:45,3,Fried Rice
3/24/2023 20:43:59,4,Fried Rice
3/24/2023 20:50:53,1,Fried Rice
3/24/2023 20:52:12,0,Chow Mein
3/24/2023 20:54:24,0,Chow Mein
3/24/2023 20:54:45,7,Fried Rice
3/24/2023 20:54:46,3,Fried Rice
3/24/2023 20:55:15,1,Chow Mein
3/24/2023 20:57:49,0,Fried Rice
3/24/2023 21:00:57,3,Chow Mein
3/24/2023 21:06:29,5,Fried Rice
3/24/2023 21:23:44,2,Chow Mein
3/24/2023 21:37:52,2,Chow Mein
3/24/2023 21:39:35,0,Fried Rice
3/24/2023 21:53:13,0,Fried Rice
3/24/2023 22:19:20,0,Fried Rice
3/24/2023 23:22:45,2,Fried Rice
3/24/2023 23:22:52,3,Fried Rice
3/24/2023 23:23:01,4,Chow Mein
3/24/2023 23:23:10,3,Fried Rice
3/25/2023 10:35:14,7,Fried Rice
3/25/2023 11:14:45,1,Fried Rice
3/25/2023 11:43:07,2,Fried Rice
3/25/2023 12:29:37,,Fried Rice
3/27/2023 16:32:47,3,Chow Mein
4/3/2023 9:15:33,2,Fried Rice
4/3/2023 9:15:39,4,Chow Mein
4/3/2023 9:15:46,5,Fried Rice
4/3/2023 9:15:51,2,Fried Rice
4/3/2023 9:15:52,1,Chow Mein
4/3/2023 9:15:59,3,Chow Mein
4/3/2023 9:16:03,1,Fried Rice
4/3/2023 9:16:05,2,Chow Mein
4/3/2023 9:16:09,1,Fried Rice
4/3/2023 9:16:12,6,Fried Rice
4/3/2023 9:16:15,3,Chow Mein
4/3/2023 9:16:19,1,Chow Mein
4/3/2023 9:16:25,4,Fried Rice
4/3/2023 9:16:30,1,Chow Mein
4/3/2023 9:16:34,2,Fried Rice
4/3/2023 9:16:39,1,Fried Rice
4/3/2023 9:16:46,3,Chow Mein
4/3/2023 9:16:53,3,Chow Mein
4/3/2023 9:16:58,1,Fried Rice
4/3/2023 9:17:02,2,Fried Rice
4/3/2023 9:17:08,3,Fried Rice
4/3/2023 9:17:12,1,Chow Mein
4/3/2023 9:17:15,1,Fried Rice
4/3/2023 9:17:16,2,Chow Mein
4/3/2023 9:17:20,2,Chow Mein
4/3/2023 9:17:20,3,Chow Mein
4/3/2023 9:17:25,3,Chow Mein
4/3/2023 9:17:27,2,Fried Rice
4/3/2023 9:17:32,6,Chow Mein
4/3/2023 9:17:32,1,Chow Mein
4/3/2023 9:17:36,0,Fried Rice
4/3/2023 9:17:37,3,Chow Mein
4/3/2023 9:17:41,1,Fried Rice
4/3/2023 9:17:54,2,Fried Rice
4/3/2023 9:17:59,2,Chow Mein
4/3/2023 9:18:01,1,Chow Mein
4/3/2023 9:18:03,1,Fried Rice
4/3/2023 9:18:21,2,Fried Rice
4/3/2023 9:18:26,2,Fried Rice
4/3/2023 9:18:28,2,Chow Mein
4/3/2023 9:18:36,1,Fried Rice
4/3/2023 9:18:48,5,Fried Rice
4/3/2023 9:18:51,4,Chow Mein
4/3/2023 9:18:54,4,Fried Rice
4/3/2023 9:18:55,1,Fried Rice
4/3/2023 9:18:59,3,Chow Mein
4/3/2023 9:19:01,1,Fried Rice
4/3/2023 9:19:03,1,Fried Rice
4/3/2023 9:19:07,1,Chow Mein
4/3/2023 9:19:07,7,Fried Rice
4/3/2023 9:19:09,2,Fried Rice
4/3/2023 9:19:11,2,Fried Rice
4/3/2023 9:19:34,2,Fried Rice
4/3/2023 9:19:38,1,Chow Mein
4/3/2023 9:19:41,3,Fried Rice
4/3/2023 9:19:51,2,Fried Rice
4/3/2023 9:19:54,1,Chow Mein
4/3/2023 9:20:01,3,Chow Mein
4/3/2023 9:20:21,2,Chow Mein
4/3/2023 9:20:25,1,Fried Rice
4/3/2023 9:20:29,7,Chow Mein
4/3/2023 9:20:29,4,Fried Rice
4/3/2023 9:20:34,5,Fried Rice
4/3/2023 9:20:41,6,Fried Rice
4/3/2023 9:20:44,1,Fried Rice
4/3/2023 9:20:46,7,Fried Rice
4/3/2023 9:20:55,9,Fried Rice
4/3/2023 9:20:55,1,Fried Rice
4/3/2023 9:21:00,2,Fried Rice
4/3/2023 9:21:05,3,Fried Rice
4/3/2023 9:21:06,2,Fried Rice
4/3/2023 9:21:22,11,Chow Mein
4/3/2023 9:21:33,5,Fried Rice
4/3/2023 9:21:37,1,Fried Rice
4/3/2023 9:21:38,4,Fried Rice
4/3/2023 9:21:42,2,Fried Rice
4/3/2023 9:21:43,3,Chow Mein
4/3/2023 9:21:47,1,Fried Rice
4/3/2023 9:21:49,2,Fried Rice
4/3/2023 9:21:51,2,Chow Mein
4/3/2023 9:21:54,1,Chow Mein
4/3/2023 9:22:01,0,Fried Rice
4/3/2023 9:22:06,0,Fried Rice
4/3/2023 9:22:10,0,Chow Mein
4/3/2023 9:22:14,8,Fried Rice
4/3/2023 9:22:25,9,Chow Mein
4/3/2023 9:22:40,3,Fried Rice
4/3/2023 9:22:46,4,Fried Rice
4/3/2023 9:22:55,5,Chow Mein
4/3/2023 9:22:58,4,Fried Rice
4/3/2023 9:23:03,1,Fried Rice
4/3/2023 9:23:09,0,Chow Mein
4/3/2023 9:23:14,2,Fried Rice
4/3/2023 9:23:20,5,Fried Rice
4/3/2023 9:23:26,6,Chow Mein
4/3/2023 9:23:31,1,Fried Rice
4/3/2023 9:23:36,3,Fried Rice
4/3/2023 9:23:41,6,Chow Mein
4/3/2023 9:23:47,1,Fried Rice
4/3/2023 9:23:48,2,Fried Rice
4/3/2023 9:23:52,1,Chow Mein
4/3/2023 9:23:52,2,Fried Rice
4/3/2023 9:23:55,1,
4/3/2023 9:23:58,3,Chow Mein
4/3/2023 9:23:58,2,Chow Mein
4/3/2023 9:24:02,1,Chow Mein
4/3/2023 9:24:03,4,Fried Rice
4/3/2023 9:24:06,3,Chow Mein
4/3/2023 9:24:07,1,Fried Rice
4/3/2023 9:24:11,3,Fried Rice
4/3/2023 9:24:13,2,Chow Mein
4/3/2023 9:24:16,1,Chow Mein
4/3/2023 9:24:20,2,Chow Mein
4/3/2023 9:24:26,0,Chow Mein
4/3/2023 9:24:29,3,Chow Mein
4/3/2023 9:24:41,4,Fried Rice
4/3/2023 9:24:46,1,Fried Rice
4/3/2023 9:24:52,1,Fried Rice
4/3/2023 9:24:52,2,Fried Rice
4/3/2023 9:24:54,1,Chow Mein
4/3/2023 9:24:58,1,Fried Rice
4/3/2023 9:25:00,1,Chow Mein
4/3/2023 9:25:01,1,Fried Rice
4/3/2023 9:27:57,2,Chow Mein
4/3/2023 9:28:01,1,Fried Rice